date,ts_code,close_p
2010-01-04,399005.SZ,5637.455
2010-01-04,000001.SH,3243.76
2010-01-04,000905.SH,4510.527
2010-01-04,000300.SH,3535.229
2010-01-04,399001.SZ,13533.537
2010-01-05,399001.SZ,13517.375
2010-01-05,399005.SZ,5694.549
2010-01-05,000905.SH,4557.475
2010-01-05,000001.SH,3282.179
2010-01-05,000300.SH,3564.038
2010-01-06,000300.SH,3541.727
2010-01-06,399001.SZ,13505.184
2010-01-06,000001.SH,3254.215
2010-01-06,000905.SH,4550.279
2010-01-06,399005.SZ,5682.515
2010-01-07,000905.SH,4459.155
2010-01-07,000001.SH,3192.776
2010-01-07,399001.SZ,13235.48
2010-01-07,399005.SZ,5542.696
2010-01-07,000300.SH,3471.456
2010-01-08,399001.SZ,13267.436
2010-01-08,399005.SZ,5582.577
2010-01-08,000300.SH,3480.13
2010-01-08,000905.SH,4514.452
2010-01-08,000001.SH,3195.997
2010-01-11,000300.SH,3482.052
2010-01-11,000001.SH,3212.75
2010-01-11,399005.SZ,5591.206
2010-01-11,399001.SZ,13161.09
2010-01-11,000905.SH,4542.949
2010-01-12,000300.SH,3534.916
2010-01-12,399005.SZ,5719.933
2010-01-12,399001.SZ,13381.25
2010-01-12,000905.SH,4639.632
2010-01-12,000001.SH,3273.966
2010-01-13,000905.SH,4591.024
2010-01-13,000001.SH,3172.658
2010-01-13,399001.SZ,13016.557
2010-01-13,000300.SH,3421.144
2010-01-13,399005.SZ,5663.872
2010-01-14,000905.SH,4714.1
2010-01-14,000300.SH,3469.051
2010-01-14,399001.SZ,13204.189
2010-01-14,000001.SH,3215.55
2010-01-14,399005.SZ,5805.48
2010-01-15,000905.SH,4747.648
2010-01-15,399005.SZ,5867.641
2010-01-15,000001.SH,3224.152
2010-01-15,000300.SH,3482.738
2010-01-15,399001.SZ,13264.372
2010-01-18,399001.SZ,13361.518
2010-01-18,399005.SZ,5940.176
2010-01-18,000905.SH,4829.062
2010-01-18,000300.SH,3500.684
2010-01-18,000001.SH,3237.098
2010-01-19,000300.SH,3507.482
2010-01-19,399005.SZ,5907.211
2010-01-19,000001.SH,3246.874
2010-01-19,399001.SZ,13350.671
2010-01-19,000905.SH,4830.016
2010-01-20,000905.SH,4651.074
2010-01-20,000001.SH,3151.85
2010-01-20,399005.SZ,5676.959
2010-01-20,399001.SZ,12916.154
2010-01-20,000300.SH,3394.434
2010-01-21,000905.SH,4667.209
2010-01-21,399001.SZ,12917.154
2010-01-21,000001.SH,3158.863
2010-01-21,399005.SZ,5696.692
2010-01-21,000300.SH,3408.574
2010-01-22,399001.SZ,12595.935
2010-01-22,000905.SH,4537.88
2010-01-22,399005.SZ,5546.071
2010-01-22,000001.SH,3128.588
2010-01-22,000300.SH,3366.197
2010-01-25,399001.SZ,12470.188
2010-01-25,000300.SH,3328.014
2010-01-25,399005.SZ,5486.108
2010-01-25,000905.SH,4481.16
